time,values
1 ,1026
2 ,1029
3 ,1029
4 ,1026
5 ,1029
6 ,1026
7 ,1026
8 ,1029
9 ,1023
10 ,1023
11 ,1026
12 ,1026
13 ,1026
14 ,1026
15 ,1023
16 ,1023
17 ,1026
18 ,1026
19 ,1023
20 ,1026
21 ,1020
22 ,1026
23 ,1026
24 ,1026
25 ,1020
26 ,1026
27 ,1023
28 ,1026
29 ,1026
30 ,1026
31 ,1023
32 ,1023
33 ,1026
34 ,1026
35 ,1026
36 ,1023
37 ,1026
38 ,1023
39 ,1026
40 ,1023
41 ,1026
42 ,1023
43 ,1029
44 ,1026
45 ,1026
46 ,1026
47 ,1026
48 ,1026
49 ,1023
50 ,1020
51 ,1026
52 ,1026
53 ,1023
54 ,1023
55 ,1026
56 ,1023
57 ,1026
58 ,1023
59 ,1023
60 ,1023
61 ,1026
62 ,1023
63 ,1020
64 ,1023
65 ,1020
66 ,1017
67 ,1020
68 ,1020
69 ,1017
70 ,1017
71 ,1011
72 ,1023
73 ,1035
74 ,1038
75 ,1038
76 ,1053
77 ,1062
78 ,1065
79 ,1059
80 ,1059
81 ,1062
82 ,1062
83 ,1068
84 ,1059
85 ,1062
86 ,1065
87 ,1068
88 ,1062
89 ,1062
90 ,1062
91 ,1062
92 ,1065
93 ,1062
94 ,1065
95 ,1062
96 ,1059
97 ,1044
98 ,1032
99 ,1029
100 ,1038
101 ,1035
102 ,1026
103 ,1020
104 ,1017
105 ,1020
106 ,1023
107 ,1023
108 ,1023
109 ,1020
110 ,1020
111 ,1023
112 ,1020
113 ,1020
114 ,1023
115 ,1023
116 ,1020
117 ,1017
118 ,1023
119 ,1020
120 ,1020
121 ,1023
122 ,1020
123 ,1020
124 ,1017
125 ,1014
126 ,1017
127 ,1023
128 ,1017
129 ,1017
130 ,1014
131 ,1020
132 ,1023
133 ,1032
134 ,1035
135 ,1035
136 ,1041
137 ,1035
138 ,1038
139 ,1035
140 ,1035
141 ,1038
142 ,1035
143 ,1035
144 ,1038
145 ,1035
146 ,1035
147 ,1035
148 ,1038
149 ,1035
150 ,1038
151 ,1035
152 ,1038
153 ,1032
154 ,1029
155 ,1029
156 ,1023
157 ,1029
158 ,1029
159 ,1023
160 ,1029
161 ,1029
162 ,1029
163 ,1023
164 ,1023
165 ,1047
166 ,1062
167 ,1065
168 ,1071
169 ,1065
170 ,1047
171 ,1032
172 ,1032
173 ,1029
174 ,1035
175 ,1038
176 ,1035
177 ,1038
178 ,1041
179 ,1035
180 ,1041
181 ,1056
182 ,1056
183 ,1053
184 ,1035
185 ,1059
186 ,1062
187 ,1062
188 ,1062
189 ,1062
190 ,1065
191 ,1062
192 ,1065
193 ,1062
194 ,1065
195 ,1068
196 ,1068
197 ,1065
198 ,1065
199 ,1065
200 ,1065
201 ,1062
202 ,1065
203 ,1065
204 ,1062
205 ,1062
206 ,1062
207 ,1068
208 ,1062
209 ,1068
210 ,1065
211 ,1062
212 ,1062
213 ,1062
214 ,1062
215 ,1065
216 ,1065
217 ,1065
218 ,1059
219 ,1062
220 ,1065
221 ,1062
222 ,1068
223 ,1068
224 ,1062
225 ,1062
226 ,1062
227 ,1062
228 ,1062
229 ,1065
230 ,1062
231 ,1062
232 ,1062
233 ,1065
234 ,1062
235 ,1065
236 ,1062
237 ,1062
238 ,1059
239 ,1062
240 ,1065
241 ,1065
242 ,1056
243 ,1062
244 ,1059
245 ,1062
246 ,1065
247 ,1065
248 ,1062
249 ,1065
250 ,1065
251 ,1068
252 ,1059
253 ,1065
254 ,1059
255 ,1059
256 ,1062
257 ,1065
258 ,1068
259 ,1068
260 ,1059
261 ,1059
262 ,1062
263 ,1062
264 ,1062
265 ,1065
266 ,1065
267 ,1059
268 ,1062
269 ,1059
270 ,1065
271 ,1065
272 ,1065
273 ,1065
274 ,1062
275 ,1062
276 ,1062
277 ,1062
278 ,1059
279 ,1062
280 ,1059
281 ,1059
282 ,1062
283 ,1062
284 ,1065
285 ,1062
286 ,1062
287 ,1059
288 ,1065
289 ,1062
290 ,1062
291 ,1062
292 ,1062
293 ,1065
294 ,1065
295 ,1062
296 ,1062
297 ,1062
298 ,1059
299 ,1059
300 ,1065
301 ,1062
302 ,1062
303 ,1062
304 ,1062
305 ,1068
306 ,1059
307 ,1062
308 ,1068
309 ,1062
310 ,1062
311 ,1062
312 ,1065
313 ,1062
314 ,1062
315 ,1062
316 ,1062
317 ,1065
318 ,1062
319 ,1056
320 ,1065
321 ,1062
322 ,1065
323 ,1062
324 ,1065
325 ,1062
326 ,1062
327 ,1068
328 ,1065
329 ,1065
330 ,1068
331 ,1062
332 ,1062
333 ,1062
334 ,1065
335 ,1065
336 ,1062
337 ,1062
338 ,1068
339 ,1065
340 ,1062
341 ,1065
342 ,1062
343 ,1062
344 ,1065
345 ,1059
346 ,1062
347 ,1062
348 ,1062
349 ,1062
350 ,1059
351 ,1062
352 ,1068
353 ,1065
354 ,1062
355 ,1065
356 ,1062
357 ,1065
358 ,1065
359 ,1062
360 ,1065
361 ,1062
362 ,1062
363 ,1065
364 ,1062
365 ,1068
366 ,1062
367 ,1062
368 ,1065
369 ,1062
370 ,1062
371 ,1065
372 ,1062
373 ,1065
374 ,1065
375 ,1062
376 ,1065
377 ,1065
378 ,1068
379 ,1065
380 ,1059
381 ,1056
382 ,1065
383 ,1062
384 ,1062
385 ,1065
386 ,1059
387 ,1062
388 ,1059
389 ,1065
390 ,1062
391 ,1062
392 ,1062
393 ,1059
394 ,1059
395 ,1059
396 ,1068
397 ,1059
398 ,1062
399 ,1068
400 ,1062
401 ,1059
402 ,1062
403 ,1062
404 ,1059
405 ,1065
406 ,1068
407 ,1062
408 ,1059
409 ,1062
410 ,1065
411 ,1065
412 ,1062
413 ,1065
414 ,1059
415 ,1059
416 ,1059
417 ,1062
418 ,1062
419 ,1062
420 ,1065
421 ,1059
422 ,1065
423 ,1065
424 ,1065
425 ,1059
426 ,1065
427 ,1065
428 ,1065
429 ,1065
430 ,1062
431 ,1062
432 ,1062
433 ,1059
434 ,1068
435 ,1062
436 ,1065
437 ,1062
438 ,1065
439 ,1068
440 ,1068
441 ,1062
442 ,1059
443 ,1065
444 ,1068
445 ,1062
446 ,1059
447 ,1065
448 ,1062
449 ,1065
450 ,1062
451 ,1065
452 ,1062
453 ,1062
454 ,1062
455 ,1065
456 ,1065
457 ,1065
458 ,1062
459 ,1062
460 ,1059
461 ,1065
462 ,1062
463 ,1062
464 ,1059
465 ,1065
466 ,1065
467 ,1062
468 ,1062
469 ,1062
470 ,1065
471 ,1062
472 ,1065
473 ,1065
474 ,1065
475 ,1059
476 ,1062
477 ,1062
478 ,1068
479 ,1065
480 ,1062
481 ,1065
482 ,1062
483 ,1065
484 ,1062
485 ,1062
486 ,1065
487 ,1065
488 ,1065
489 ,1065
490 ,1065
491 ,1059
492 ,1062
493 ,1065
494 ,1062
495 ,1062
496 ,1065
497 ,1062
498 ,1065
499 ,1062
500 ,1062
501 ,1065
502 ,1062
503 ,1068
504 ,1065
505 ,1062
506 ,1065
507 ,1065
508 ,1068
509 ,1065
510 ,1065
511 ,1062
512 ,1068
513 ,1065
514 ,1059
515 ,1062
516 ,1065
517 ,1062
518 ,1062
519 ,1065
520 ,1062
521 ,1062
522 ,1062
523 ,1062
524 ,1065
525 ,1065
526 ,1062
527 ,1065
528 ,1065
529 ,1062
530 ,1065
531 ,1065
532 ,1062
533 ,1065
534 ,1065
535 ,1065
536 ,1062
537 ,1065
538 ,1062
539 ,1059
540 ,1050
541 ,1059
542 ,1062
543 ,1068
544 ,1059
545 ,1068
546 ,1065
547 ,1077
548 ,1077
549 ,1083
550 ,1083
551 ,1077
552 ,1071
553 ,1050
554 ,1047
555 ,1032
556 ,1029
557 ,1020
558 ,1020
559 ,1017
560 ,1020
561 ,1020
562 ,1023
563 ,1014
564 ,1017
565 ,1023
566 ,1017
567 ,1023
568 ,1023
569 ,1020
570 ,1017
571 ,1017
572 ,1020
573 ,1017
574 ,1023
575 ,1023
576 ,1023
577 ,1023
578 ,1020
579 ,1017
580 ,1023
581 ,1017
582 ,1017
583 ,1020
584 ,1023
585 ,1020
586 ,1026
587 ,1029
588 ,1026
589 ,1026
590 ,1026
591 ,1032
592 ,1029
593 ,1029
594 ,1029
595 ,1026
596 ,1026
597 ,1026
598 ,1029
599 ,1026
600 ,1026
601 ,1029
602 ,1026
603 ,1026
604 ,1023
605 ,1023
606 ,1026
607 ,1026
608 ,1023
609 ,1029
610 ,1029
611 ,1023
612 ,1026
613 ,1023
614 ,1029
615 ,1023
616 ,1026
617 ,1026
618 ,1020
619 ,1026
620 ,1026
621 ,1023
622 ,1023
623 ,1026
624 ,1026
625 ,1029
626 ,1023
627 ,1026
628 ,1029
629 ,1029
630 ,1020
631 ,1023
632 ,1023
633 ,1026
634 ,1023
635 ,1023
636 ,1026
637 ,1026
638 ,1023
639 ,1023
640 ,1026
641 ,1023
642 ,1029
643 ,1023
644 ,1026
645 ,1023
646 ,1023
647 ,1023
648 ,1023
649 ,1023
650 ,1023
651 ,1026
652 ,1026
653 ,1023
654 ,1023
655 ,1023
656 ,1026
657 ,1026
658 ,1026
659 ,1020
660 ,1023
661 ,1026
662 ,1023
663 ,1023
664 ,1020
665 ,1023
666 ,1023
667 ,1023
668 ,1026
669 ,1020
670 ,1032
671 ,1032
672 ,1029
673 ,1026
674 ,1029
675 ,1029
676 ,1029
677 ,1026
678 ,1029
679 ,1032
680 ,1029
681 ,1026
682 ,1029
683 ,1029
684 ,1026
685 ,1023
686 ,1029
687 ,1035
688 ,1044
689 ,1032
690 ,1038
691 ,1023
692 ,1044
693 ,1041
694 ,1047
695 ,1047
696 ,1044
697 ,1044
698 ,1047
699 ,1044
700 ,1041
701 ,1038
702 ,1041
703 ,1038
704 ,1041
705 ,1041
706 ,1038
707 ,1038
708 ,1041
709 ,1038
710 ,1038
711 ,1041
712 ,1041
713 ,1038
714 ,1038
715 ,1035
716 ,1026
717 ,1023
718 ,1029
719 ,1032
720 ,1029
721 ,1017
722 ,1014
723 ,1020
724 ,1014
725 ,1014
726 ,1020
727 ,1020
728 ,1017
729 ,1014
730 ,1023
731 ,1020
732 ,1017
733 ,1017
734 ,1020
735 ,1014
736 ,1020
737 ,1020
738 ,1011
739 ,1017
740 ,1020
741 ,1023
742 ,1017
743 ,1014
744 ,1020
745 ,1023
746 ,1020
747 ,1023
748 ,1020
749 ,1020
750 ,1026
751 ,1029
752 ,1026
753 ,1029
754 ,1032
755 ,1032
756 ,1032
757 ,1032
758 ,1032
759 ,1032
760 ,1023
761 ,1026
762 ,1029
763 ,1023
764 ,1026
765 ,1032
766 ,1029
767 ,1026
768 ,1032
769 ,1029
770 ,1032
771 ,1035
772 ,1032
773 ,1032
774 ,1032
775 ,1032
776 ,1032
777 ,1029
778 ,1029
779 ,1029
780 ,1032
781 ,1032
782 ,1032
783 ,1032
784 ,1032
785 ,1035
786 ,1029
787 ,1029
788 ,1029
789 ,1029
790 ,1032
791 ,1032
792 ,1032
793 ,1029
794 ,1026
795 ,1029
796 ,1026
797 ,1035
798 ,1029
799 ,1032
800 ,1029
801 ,1035
802 ,1029
803 ,1029
804 ,1029
805 ,1035
806 ,1035
807 ,1047
808 ,1038
809 ,1041
810 ,1026
811 ,1023
812 ,1023
813 ,1020
814 ,1026
815 ,1095
816 ,1071
817 ,1047
818 ,1077
819 ,1068
820 ,1068
821 ,1071
822 ,1065
823 ,1068
824 ,1068
825 ,1068
826 ,1065
827 ,1068
828 ,1068
829 ,1068
830 ,1068
831 ,1068
832 ,1068
833 ,1068
834 ,1071
835 ,1071
836 ,1068
837 ,1068
838 ,1071
839 ,1065
840 ,1065
841 ,1068
842 ,1062
843 ,1065
844 ,1068
845 ,1068
846 ,1062
847 ,1071
848 ,1071
849 ,1068
850 ,1071
851 ,1065
852 ,1065
853 ,1071
854 ,1071
855 ,1068
856 ,1068
857 ,1068
858 ,1068
859 ,1065
860 ,1068
861 ,1068
862 ,1071
863 ,1065
864 ,1071
865 ,1071
866 ,1065
867 ,1071
868 ,1074
869 ,1068
870 ,1068
871 ,1071
872 ,1068
873 ,1065
874 ,1062
875 ,1056
876 ,1044
877 ,1035
878 ,1035
879 ,1032
880 ,1026
881 ,1026
882 ,1023
883 ,1017
884 ,1020
885 ,1020
886 ,1023
887 ,1017
888 ,1017
889 ,1017
890 ,1023
891 ,1020
892 ,1017
893 ,1017
894 ,1020
895 ,1020
896 ,1017
897 ,1020
898 ,1020
899 ,1017
900 ,1023
901 ,1020
902 ,1023
903 ,1020
904 ,1020
905 ,1017
906 ,1023
907 ,1017
908 ,1017
909 ,1020
910 ,1017
911 ,1023
912 ,1026
913 ,1026
914 ,1026
915 ,1029
916 ,1029
917 ,1026
918 ,1029
919 ,1026
920 ,1029
921 ,1029
922 ,1029
923 ,1029
924 ,1026
925 ,1029
926 ,1029
927 ,1026
928 ,1029
929 ,1029
930 ,1029
931 ,1023
932 ,1023
933 ,1029
934 ,1029
935 ,1029
936 ,1035
937 ,1026
938 ,1032
939 ,1032
940 ,1029
941 ,1029
942 ,1032
943 ,1026
944 ,1029
945 ,1032
946 ,1029
947 ,1032
948 ,1029
949 ,1029
950 ,1029
951 ,1029
952 ,1029
953 ,1032
954 ,1029
955 ,1029
956 ,1029
957 ,1032
958 ,1026
959 ,1032
960 ,1029
961 ,1029
962 ,1029
963 ,1032
964 ,1029
965 ,1032
966 ,1026
967 ,1032
968 ,1035
969 ,1038
970 ,1041
971 ,1038
972 ,1032
973 ,1026
974 ,1029
975 ,1023
976 ,1035
977 ,1056
978 ,1062
979 ,1062
980 ,1062
981 ,1065
982 ,1065
983 ,1065
984 ,1065
985 ,1065
986 ,1068
987 ,1068
988 ,1065
989 ,1068
990 ,1068
991 ,1065
992 ,1065
993 ,1068
994 ,1065
995 ,1065
996 ,1068
997 ,1065
998 ,1068
999 ,1068
1000 ,1065
1001 ,1065
1002 ,1068
1003 ,1068
1004 ,1068
1005 ,1068
1006 ,1068
1007 ,1068
1008 ,1065
1009 ,1065
1010 ,1068
1011 ,1068
1012 ,1068
1013 ,1071
1014 ,1068
1015 ,1065
1016 ,1068
1017 ,1062
1018 ,1068
1019 ,1062
1020 ,1068
1021 ,1065
1022 ,1065
1023 ,1068
1024 ,1065
1025 ,1071
1026 ,1068
1027 ,1065
1028 ,1068
1029 ,1068
1030 ,1071
1031 ,1068
1032 ,1068
1033 ,1068
1034 ,1068
1035 ,1068
1036 ,1065
1037 ,1065
1038 ,1059
1039 ,1053
1040 ,1041
1041 ,1035
1042 ,1029
1043 ,1026
1044 ,1023
1045 ,1026
1046 ,1020
1047 ,1020
1048 ,1020
1049 ,1014
1050 ,1023
1051 ,1017
1052 ,1023
1053 ,1017
1054 ,1017
1055 ,1020
1056 ,1020
1057 ,1020
1058 ,1017
1059 ,1020
1060 ,1020
1061 ,1020
1062 ,1020
1063 ,1017
1064 ,1020
1065 ,1020
1066 ,1020
1067 ,1020
1068 ,1020
1069 ,1014
1070 ,1020
1071 ,1020
1072 ,1023
1073 ,1023
1074 ,1020
1075 ,1023
1076 ,1020
1077 ,1035
1078 ,1032
